

[4]:22 6 27 周一 10:10:04
XRPUSDT
样本数:500 总匹配量:500 百分比:1
prev_weight:4, max_weight:3, price_weight:3, close_weight:3, volume_weight:2, need_weight:35, similar_range:0.1, similar_val:0.005, need_count:150, RATE_DELTA:0.05, E_DELTA:0.0001, 
优质数:220	正确率:62.273%	交易期望:0.101%
18364 num:1162 	3-e涨幅:0.057% e涨率:58.163% 	True:0.213%
18365 num:2309 	2-e涨幅:0.021% e涨率:57.857% 	False:-0.042%
18365 num:2309 	3-e涨幅:0.049% e涨率:59.321% 	True:0.043%
18367 num:2901 	2-e涨幅:0.018% e涨率:56.975% 	False:-0.085%
18367 num:2901 	3-e涨幅:0.017% e涨率:58.336% 	False:-0.255%
18368 num:5284 	2-e涨幅:0.011% e涨率:56.228% 	False:-0.34%
18368 num:5284 	3-e涨幅:0.011% e涨率:57.467% 	False:-0.681%
18369 num:4223 	2-e涨幅:0.027% e涨率:58.444% 	False:-0.511%
18369 num:4223 	3-e涨幅:0.033% e涨率:59.917% 	False:-0.041%
18370 num:3241 	1-e涨幅:0.02% e涨率:55.203% 	False:-0.341%
18370 num:3241 	2-e涨幅:0.034% e涨率:58.98% 	True:0.129%
18370 num:3241 	3-e涨幅:0.046% e涨率:60.541% 	True:0.641%
18371 num:1693 	1-e涨幅:0.024% e涨率:56.257% 	True:0.47%
18371 num:1693 	2-e涨幅:0.058% e涨率:60.473% 	True:0.982%
18371 num:1693 	3-e涨幅:0.076% e涨率:60.522% 	True:1.151%
18378 num:14799 	2-e涨幅:0.011% e涨率:55.607% 	False:-0.255%
18378 num:14799 	3-e涨幅:0.016% e涨率:56.478% 	False:-0.341%
18379 num:14919 	3-e涨幅:0.015% e涨率:56.201% 	False:-0.298%
18380 num:8003 	2-e涨幅:0.019% e涨率:57.452% 	False:-0.085%
18380 num:8003 	3-e涨幅:0.028% e涨率:58.37% 	True:0.213%
18381 num:10931 	2-e涨幅:0.021% e涨率:57.43% 	True:0.299%
18381 num:10931 	3-e涨幅:0.03% e涨率:58.551% 	False:-0.169%
18382 num:11873 	2-e涨幅:0.02% e涨率:57.206% 	False:-0.169%
18382 num:11873 	3-e涨幅:0.028% e涨率:58.547% 	False:-0.725%
18384 num:7387 	1-e涨幅:0.015% e涨率:55.029% 	False:-0.556%
18384 num:7387 	2-e涨幅:0.03% e涨率:58.826% 	False:-0.513%
18384 num:7387 	3-e涨幅:0.036% e涨率:59.98% 	False:-0.341%
18385 num:1429 	1-e涨幅:0.043% e涨率:58.839% 	True:0.043%
18385 num:1429 	2-e涨幅:0.071% e涨率:62.137% 	True:0.215%
18385 num:1429 	3-e涨幅:0.076% e涨率:59.531% 	True:0.301%
18386 num:2745 	1-e涨幅:0.017% e涨率:56.879% 	True:0.172%
18386 num:2745 	2-e涨幅:0.027% e涨率:57.987% 	True:0.258%
18386 num:2745 	3-e涨幅:0.049% e涨率:58.639% 	True:0.515%
18387 num:9519 	2-e涨幅:0.011% e涨率:56.13% 	True:0.343%
18387 num:9519 	3-e涨幅:0.02% e涨率:58.307% 	True:0.001%
18391 num:2721 	1-e涨幅:0.036% e涨率:58.177% 	True:0.388%
18391 num:2721 	2-e涨幅:0.056% e涨率:61.177% 	True:0.817%
18391 num:2721 	3-e涨幅:0.06% e涨率:60.237% 	True:0.817%
18392 num:10015 	3-e涨幅:0.017% e涨率:57.126% 	True:0.814%
18393 num:5134 	1-e涨幅:-0.015% e涨率:44.844% 	False:0%
18405 num:11477 	2-e涨幅:0.013% e涨率:55.252% 	False:-0.129%
18405 num:11477 	3-e涨幅:0.014% e涨率:55.152% 	True:0.302%
18406 num:7041 	2-e涨幅:0.016% e涨率:56.026% 	True:0.43%
18406 num:7041 	3-e涨幅:0.02% e涨率:56.268% 	True:0.045%
18407 num:30658 	3-e涨幅:0.013% e涨率:55.59% 	True:0.131%
18417 num:1831 	1-e涨幅:-0.01% e涨率:41.43% 	False:0.381%
18418 num:1071 	1-e涨幅:-0.026% e涨率:40.891% 	True:-0.084%
18418 num:1071 	2-e涨幅:-0.051% e涨率:41.846% 	False:0%
18419 num:3052 	1-e涨幅:-0.011% e涨率:42.518% 	False:0.084%
18419 num:3052 	2-e涨幅:-0.02% e涨率:44.371% 	True:-0.084%
18419 num:3052 	3-e涨幅:-0.023% e涨率:44.24% 	True:-0.295%
18420 num:2481 	1-e涨幅:-0.011% e涨率:42.74% 	True:-0.169%
18420 num:2481 	2-e涨幅:-0.028% e涨率:44.161% 	True:-0.38%
18420 num:2481 	3-e涨幅:-0.029% e涨率:44.318% 	True:-0.422%
18424 num:6160 	1-e涨幅:-0.013% e涨率:43.01% 	True:-0.084%
18424 num:6160 	2-e涨幅:-0.021% e涨率:44.254% 	False:0%
18439 num:10242 	1-e涨幅:-0.012% e涨率:43.062% 	False:0.295%
18439 num:10242 	2-e涨幅:-0.017% e涨率:44.739% 	False:0.253%
18440 num:4162 	2-e涨幅:-0.011% e涨率:44.243% 	True:-0.126%
18440 num:4162 	3-e涨幅:-0.012% e涨率:44.298% 	True:-0.042%
18441 num:6822 	1-e涨幅:-0.012% e涨率:42.374% 	True:-0.084%
18441 num:6822 	2-e涨幅:-0.019% e涨率:44.552% 	False:0%
